Cell_ID,EEF2,ACTB,SOX9,GAPDH,SPP1,IL8,IL6,CCL11,COL5A2,COL1A1,PDL1,MALAT1,RUNX1,CXCR4,MKI67,NANOG
exp1_hch_028_1,459,553,40,518,8,18,198,6,228,407,4,90,1,14,4,2
exp1_hch_028_2,485,545,25,631,8,27,191,7,345,586,6,43,3,24,12,7
exp1_hch_028_3,961,1785,16,1315,10,8,388,19,908,812,13,275,7,34,36,18
exp1_hch_030_1,739,1427,11,865,11,11,538,10,463,144,12,470,2,31,13,10
exp1_hch_031_1,636,1025,29,811,5,12,346,4,251,347,0,231,2,8,7,2
exp1_hch_031_2,644,1404,4,783,10,9,407,7,171,348,7,365,6,13,4,1
exp1_hch_031_3,1042,1210,24,867,6,15,297,10,448,914,4,299,0,21,13,6
exp1_hch_031_4,913,1763,19,593,11,14,263,7,294,686,4,345,10,26,17,10
exp1_hch_032_1,563,488,15,301,3,4,122,0,241,45,1,445,1,12,4,4
exp1_hch_032_2,642,603,15,406,5,6,160,2,85,110,5,226,1,11,4,3
exp1_hch_032_3,349,880,3,158,4,8,103,3,213,325,3,241,9,12,10,2
exp1_hch_032_4,2141,805,59,1015,11,60,323,7,874,1966,8,858,8,39,25,7
exp1_hch_032_5,358,613,2,329,1,23,136,1,81,382,3,38,2,7,4,6
exp1_hch_032_6,303,776,7,259,4,5,127,1,100,68,3,231,5,15,2,1
exp1_hch_032_7,694,1223,12,852,1,33,336,5,171,443,3,309,3,15,7,6
exp1_hch_032_8,461,966,12,250,0,14,252,1,121,126,1,387,1,12,1,4
exp1_hch_032_9,330,594,3,128,3,7,69,5,100,122,5,325,2,13,9,4
exp1_hch_032_10,216,559,0,110,2,0,61,2,52,21,2,141,2,8,0,3
exp1_hch_033_1,475,1105,4,177,6,6,101,6,127,64,4,358,11,19,12,4
exp1_hch_033_2,308,821,2,304,1,5,123,1,186,592,1,198,4,17,20,3
exp1_hch_033_3,715,1683,7,694,8,5,267,4,101,203,1,321,9,49,10,15
exp1_hch_033_4,359,392,2,174,2,4,86,1,88,459,3,193,6,14,6,4
exp1_hch_034_1,478,1022,9,500,2,2,234,3,93,92,1,54,5,7,4,0
exp1_hch_034_2,1046,1950,7,768,9,9,338,6,320,952,5,451,7,21,20,5
exp1_hch_034_3,796,1238,10,589,4,6,209,3,136,836,2,277,9,14,11,5
exp1_hch_034_4,1093,513,1,879,6,8,626,3,282,708,3,346,4,14,11,5
exp1_hch_034_5,480,724,4,417,2,4,171,4,101,490,5,208,4,9,6,3
exp1_hch_034_6,694,1099,6,454,4,9,168,6,165,619,5,228,6,36,11,2
exp1_hch_034_7,629,1084,6,476,4,2,165,5,81,495,4,135,2,11,5,6
exp1_hch_034_8,1003,1447,3,824,8,5,317,9,256,669,3,370,8,22,25,5
exp1_hch_034_9,926,1156,9,864,4,7,354,5,124,633,8,308,8,17,22,2
exp1_hch_034_10,293,690,3,332,6,5,114,1,226,7,2,144,6,13,89,1
