Cell_ID,GAPDH,ACTB,IL8,IL6,CCL11,COL1A1,NANOG,SOX9,EEF2,SPP1,RUNX1,PDL1
exp1_bm_039_2,1223,2021,4,5,2,1994,1,6,911,3,187,3
exp1_bm_039_3,1853,2355,15,12,4,1975,2,27,1109,19,509,3
exp1_bm_039_4,1128,1645,3,12,6,1074,1,5,477,7,35,12
exp1_bm_040_1,1091,1751,7,8,4,714,0,12,518,7,163,10
exp1_bm_040_2,1881,1905,4,14,6,1292,4,19,1009,16,123,15
exp1_bm_041_1,1763,1800,7,19,3,546,4,10,774,6,78,1
exp1_bm_041_2,1851,1548,8,14,6,1354,5,45,1089,27,119,3
exp1_bm_041_3,1201,1047,2,18,3,959,13,13,736,12,65,6
exp1_bm_041_4,1902,2162,5,10,4,1013,3,35,1001,19,96,8
exp1_bm_041_5,1041,1128,5,8,5,1278,2,17,780,17,48,3
exp1_bm_042_1,1352,1794,6,17,6,449,2,41,924,29,47,7
exp1_bm_042_2,1559,1315,13,22,6,551,1,14,752,6,273,10
exp1_bm_044_1,713,636,1,9,0,771,4,17,512,4,264,0
exp1_bm_044_2,2418,4539,13,260,6,2805,1,32,1608,24,626,9
exp1_bm_045_1,1020,1232,3,31,4,181,1,8,466,13,93,3
exp1_bm_045_2,1515,1288,24,25,2,866,18,22,685,11,126,0
exp1_bm_046_1,1490,2592,14,25,5,1279,0,23,774,54,60,7
exp1_bm_046_2,1505,1364,11,20,2,946,6,28,602,13,54,9
exp1_bm_046_3,952,1426,7,14,2,577,6,13,455,11,140,3
exp1_bm_047_1,1484,2012,15,17,3,1696,4,34,907,20,158,3
exp1_bm_047_2,1522,2008,7,15,1,1982,3,61,869,15,158,1
exp1_bm_047_3,1037,1120,4,47,3,1380,6,15,620,9,112,6
exp1_bm_047_4,2037,2353,16,27,10,1121,3,10,841,15,151,3
exp1_bm_048_1,900,1181,1,8,1,306,3,1,392,1,94,2
exp1_bm_048_2,887,1520,6,9,2,986,3,13,567,20,87,1
exp1_bm_048_3,1488,1630,4,19,5,1110,1,11,699,9,238,2
exp1_bm_048_4,2243,3074,24,39,6,1930,3,15,986,75,337,4
exp1_bm_048_5,1500,1983,3,15,4,936,5,15,593,4,34,1
exp1_bm_048_6,1776,1807,5,23,5,1950,4,5,941,28,97,1
exp1_bm_049_1,1079,1577,18,17,9,937,9,14,535,7,65,3
exp1_bm_049_2,896,974,20,14,1,686,7,18,404,2,110,5
exp1_bm_049_3,1947,2745,26,42,4,1987,19,16,1034,22,200,8
exp1_bm_049_4,1381,1659,6,28,2,1557,2,3,663,3,64,8
exp1_bm_049_5,536,764,1,38,0,805,4,4,361,4,38,2
exp1_bm_051_1,2544,3570,7,26,6,2689,29,18,1507,16,213,7
exp1_bm_051_2,583,985,6,9,1,1245,5,3,572,4,48,1
exp1_bm_051_3,1597,2206,4,21,3,1909,6,5,647,7,54,2
exp1_bm_052_1,1417,2156,23,44,2,1259,8,23,850,9,355,9
exp1_bm_052_2,1041,1322,4,20,1,1886,6,16,750,11,116,4
exp1_bm_052_3,1691,1570,25,82,3,2266,5,11,869,14,259,6
exp1_bm_055_1,1221,1712,14,18,4,1350,2,1,769,5,99,26
exp1_bm_055_2,1625,2938,13,96,5,1558,2,5,753,12,78,2
exp1_bm_055_3,1589,2332,10,28,5,1930,4,9,740,36,104,6
exp1_bm_055_4,756,760,7,13,1,792,3,14,383,35,12,3
exp1_bm_056_1,2931,4061,48,39,8,4001,7,41,1642,23,331,19
exp1_bm_056_2,1493,1865,25,29,7,2175,3,12,1054,280,199,18
exp1_bm_057_1,1330,1199,11,13,4,1625,6,14,778,5,125,7
exp1_bm_057_2,1708,1192,16,17,3,2680,10,59,1042,21,64,4
exp1_bm_057_3,938,1421,6,16,6,1172,2,10,496,11,24,11
